Symptoms,Disease
fatigue Numbness or tingling bladder problems cognitive difficulties dizziness difficulty walking muscle weakness vision problems,Multiple Sclerosis (MS)
Runny nose wheezing decreased appetite irritability in infants rapid or difficult breathing sneezing fever cough sometimes bluish lips or nails in severe cases,Respiratory Syncytial Virus (RSV)
nausea fatigue sometimes diarrhea or jaundice,Malaria
contractions Heavy vaginal bleeding,Late Miscarriage
dizziness symptoms of early pregnancy such as missed period or nausea vaginal bleeding fainting,Ectopic Pregnancy
need for order or symmetry anxiety distress when rituals are resisted,Obsessive Compulsive Disorder (OCD)
fatigue headache Fever in severe cases paralysis of limbs or breathing muscles back or neck stiffness,Polio (Poliomyelitis)
irritability difficulty concentrating racing thoughts restlessness rapid heartbeat,Mental Anxiety Disorder
abdominal cramps bloating Frequent loose or watery stools sometimes fever urgency to pass stool dehydration,Diarrhoea
Headaches blurred vision red or flushed skin fatigue feet,Polycythemia Vera
Irregular or rapid heartbeat lightheadedness chest discomfort sometimes no symptoms at all shortness of breath fatigue palpitations,Atrial Fibrillation
lower abdominal pain sometimes fever or blood in urine,Urinary Tract Infection (UTI)
Intense fear in social situations worry about being judged or embarrassed sweating trembling rapid heartbeat physical symptoms like stomach discomfort,Social Anxiety Disorder
pale skin poor concentration brittle nails Fatigue dizziness,Iron Deficiency Anemia
headaches difficulty driving or seeing classroom boards eye strain,Myopia (Nearsightedness)
goes depending on the cause sharp or dull pain in the abdomen indigestion constipation,Stomach Ache and Abdominal Pain
unexplained weight loss frequent infections,Non-Hodgkin Lymphoma
Foot turned inward or outward at birth the foot returning toward normal position when gently moved no pain flexible foot position normal leg movement,Positional Talipes in Children and Young People
enlarged spleen a feeling of fullness in the left upper abdomen,Polycythemia Vera
headache High fever with chills nausea vomiting sometimes diarrhea or jaundice fatigue muscle aches sweating,Malaria
redness altered taste difficulty swallowing White creamy patches on the tongue or inner cheeks soreness cracking at the corners of the mouth burning sensation,Oral Thrush in Adults
shortness of breath numbness or tingling rapid heartbeat sweating fear of losing control or dying dizziness nausea Sudden episodes of intense fear chills or heat sensations trembling,Panic Disorder
jaundice loss of appetite weight loss Fatigue,Cirrhosis
wrists thin wavy burrow lines on the skin genital area skin crusting in severe cases small red bumps or blisters rash in finger webs underarms waist especially at night Intense itching,Scabies
loose teeth swelling around the eyes numbness or tingling in the face facial pain or pressure headaches double vision Persistent nasal blockage,Nasal and Sinus Cancer
altered taste soreness difficulty swallowing burning sensation redness cracking at the corners of the mouth,Oral Thrush in Adults
headache vomiting nausea pain that may radiate to the thighs lower back pain diarrhea Cramping pain in the lower abdomen,Dysmenorrhea
fever palpitations Sharp chest pain that may worsen with deep breathing or lying down fatigue sometimes swelling in legs or abdomen shortness of breath pain improving when sitting forward,Pericarditis
dull ache in the lower abdomen or groin feeling of heaviness in the scrotum,Testicular Cancer
fatigue fainting episodes shortness of breath Slow heartbeat feeling lightheaded dizziness especially during activity chest discomfort,Heart Block
neck especially in the morning,Polymyalgia Rheumatica (PMR)
nausea gas rumbling sounds in the stomach,Lactose Intolerance
Shortness of breath fainting swelling in legs or ankles rapid or irregular heartbeat fatigue reduced ability to exercise chest pain,Cardiomyopathy
fatigue difficulty with physical activity breathlessness Excess body fat snoring or sleep problems low energy rapid weight gain,Obesity in Adults
light bleeding at the start or end of a period Brown or dark vaginal discharge sometimes mild odor depending on the cause mild abdominal cramping spotting between periods,Brown Discharge
nosebleeds loose teeth swelling around the eyes double vision reduced sense of smell,Nasal and Sinus Cancer
Weight loss poor concentration hair loss frequent infections,Malnutrition
swelling swollen fingers or toes (dactylitis) Joint pain reduced range of motion nail pitting tenderness,Psoriatic Arthritis
itching or burning sensation Painful blisters or sores on the lips tingling before outbreaks mouth fever genitals swollen lymph nodes body aches during initial infection or anus,Herpes
goes depending on the cause constipation gas,Stomach Ache and Abdominal Pain
difficulty lifting the arm Shoulder pain gradual restriction of shoulder movement,Frozen Shoulder
anaemia symptoms enlarged spleen causing discomfort after eating small amounts fatigue easy bruising or bleeding Pain or fullness in the upper left abdomen,Spleen Problems and Spleen Removal (Splenectomy)
Runny/stuffy nose mild fever fatigue sore throat cough sneezing headache body aches post-nasal drip watery eyes,Common cold
frequent infections in severe cases soft or weak bones mood changes Fatigue slow wound healing,Vitamin D Deficiency
Often no symptoms blurred vision,High Blood Pressure (Hypertension)
temporary confusion uncontrolled jerking movements loss of awareness staring spells fatigue after episodes Recurrent seizures,Epilepsy
dizziness shortness of breath feet poor concentration headaches weakness pale skin cold hands,Iron Deficiency Anemia
gradual restriction of shoulder movement Shoulder pain difficulty lifting the arm pain worsening at night stiffness reduced range of motion,Frozen Shoulder
unusual vaginal bleeding difficulty eating or feeling full quickly Persistent bloating or abdominal swelling unexplained weight loss urinary urgency or frequency pelvic or lower abdominal pain indigestion or back pain persistent fatigue,Ovarian Cancer
vomiting pelvic pain,Molar Pregnancy
lower abdominal pain Burning sensation during urination frequent urge to urinate cloudy or foul-smelling urine pelvic discomfort sometimes fever or blood in urine,Urinary Tract Infection (UTI)
intermittent fever loss of appetite Chronic diarrhea weight loss blood in stool urgency to pass stool abdominal pain,Inflammatory Bowel Disease (IBD)
general weakness sore throat cough Fever runny or stuffy nose,COVID-19
vomiting passing grape-like cysts very high hCG levels severe nausea rapid uterine enlargement pelvic pain Vaginal bleeding in early pregnancy,Molar Pregnancy
stress thickened or cracked skin,Atopic Eczema
headaches ringing in the ears,Nasopharyngeal Cancer
chills sometimes vomiting or diarrhea headache fatigue,Influenza
tenderness in the neck area reduced range of motion stiffness numbness or tingling in arms headaches,Neck Injury
infertility pain during intercourse bloating pain during bowel movements or urination severe menstrual cramps heavy periods,Endometriosis
swollen testicles Painful urination pelvic pain bleeding between periods,Gonorrhoea
blood in vomit or black stools nausea,Stomach Cancer
nausea sometimes diarrhea or jaundice muscle aches headache vomiting High fever with chills fatigue sweating,Malaria
nosebleeds facial pain or pressure double vision,Nasal and Sinus Cancer
hallucinations Sudden confusion memory problems disturbed sleep cycle rapid mood changes restlessness agitation disorientation difficulty focusing,Delirium
severe headache loss of balance,Stroke
discomfort during repetitive movements weakness in the shoulder night pain when lying on the affected side,Subacromial Pain Syndrome
fainting spells rapid heartbeat,Pulmonary Hypertension
burning sensation bright red blood on toilet paper or stool Sharp pain during or after bowel movements a visible small tear near the anus,Anal Fissures
Bleeding between periods severe cramping irregular cycles bleeding after sex or menopause very heavy periods,Abnormal Uterine Bleeding
sores that do not heal A lump or growth on the penis changes in skin color or thickness persistent itching or burning swollen lymph nodes in the groin,Penile Cancer
memory problems seizures Persistent headaches vision or hearing changes weakness in limbs nausea or vomiting difficulty speaking,Brain Tumours
swelling weakness fatigue Joint pain stiffness (especially in the morning) warmth around joints symmetrical joint involvement,Rheumatoid Arthritis
small bumps fever in some cases or whole body depending on the cause arms Red or pink patches rashes that may appear on the face legs dry or scaly skin swelling blisters neck itching,Skin Rashes in Children
burning sensation White creamy patches on the tongue or inner cheeks,Oral Thrush in Adults
persistent bloating urinary urgency or frequency unexplained weight changes feeling full quickly back pain irregular periods in some cases a noticeable pelvic mass abdominal swelling,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
Persistent stomach pain blood in vomit or black stools difficulty swallowing nausea vomiting indigestion unexplained weight loss,Stomach Cancer
Painful round or oval sores inside the mouth redness around the ulcer difficulty eating or speaking,Mouth Ulcer
dizziness weakness pale skin Fatigue feet headaches,Iron Deficiency Anemia
small bumps or blisters cracking or peeling skin Red itchy ring-shaped rashes,Fungal Skin Infections
Persistent cough mucus production fatigue fever breathing difficulty wheezing chest congestion chest discomfort,Lower Respiratory Tract Infection (LRTI)
stooped posture fractures occurring easily from minor falls or injuries Weak brittle bones,Osteoporosis
fatigue palpitations swelling in legs or ankles discomfort spreading to arm or back neck jaw,Heart Disease
headache vomiting nausea Cramping pain in the lower abdomen diarrhea pain that may radiate to the thighs fatigue,Dysmenorrhea
pale skin shortness of breath cold hands feet Fatigue weakness brittle nails dizziness cravings for non-food items like ice or clay headaches,Iron Deficiency Anaemia
commonly on sun-exposed areas non-healing sores or bleeding growths,Skin Cancer (Non-Melanoma)
severe nausea rapid uterine enlargement vomiting very high hCG levels passing grape-like cysts pelvic pain,Molar Pregnancy
difficulty breathing during triggers like dust Wheezing chest tightness,Asthma
warmth around joints stiffness swelling symptoms worsening in the morning or after inactivity,Arthritis
Increased thirst nausea frequent urination sometimes fruity-smelling breath or confusion in severe cases dry mouth headache fatigue,Hyperglycaemia
fever weight loss frequent infections coughing or breathing difficulty abdominal pain or swelling fatigue Painless swollen lymph nodes,Non-Hodgkin Lymphoma in Children
confusion about time or place mood changes withdrawal from social activities,Alzheimer’s Disease
eye pain in some cases visual field loss Sudden vision loss in one eye sudden difficulty focusing blurred or dim vision seeing floaters or shadows,Eye Stroke
mood changes trouble completing familiar tasks poor judgment difficulty planning or solving problems Memory loss withdrawal from social activities confusion about time or place,Alzheimer’s Disease
Pain stiffness discomfort during wrist or hand movements,Tennis Elbow
runny or stuffy nose muscle aches,Influenza
